date,close,returns_1d,returns_5d,returns_20d,sma_5,sma_10,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,macd_hist_prev,rsi_14,bb_upper,bb_middle,bb_lower,bb_width,bb_pct_b,bb_std,bb_band_position,bb_width_pct,bb_expansion_ratio,bb_squeeze,plus_di,minus_di,adx,adx_normalized,di_divergence,adx_momentum,trend_bullish,trend_bearish,adx_strength,kdj_k,kdj_d,kdj_j,kdj_j_divergence,stoch_k,stoch_d,williams_r,cci,supertrend,supertrend_trend,perf_ama,target_factor,atr,supertrend_signal,signal_confidence,supertrend_performance_index,supertrend_signal_strength,supertrend_adaptive_factor,supertrend_value,supertrend_factor,supertrend_confidence_norm,supertrend_distance_norm,atr_14,atr_normalized,volume_sma_20,volume_ratio,mfi_14,mfi,obv,obv_sma,volatility_20d,price_vs_sma20,price_vs_sma50,realized_vol_20d,volatility_regime,vol_of_vol,vol_percentile,vol_trend,hmm_regime,hmm_regime_prob_0,hmm_regime_prob_1,hmm_regime_prob_2,garch_variance,garch_vol_regime,distance_to_support_pct,distance_to_resistance_pct,sr_ratio,pivot_pp,price_vs_pivot_pct,fib_nearest,distance_to_fib_pct,sr_nearest_support,sr_nearest_resistance,sr_support_distance_pct,sr_resistance_distance_pct,sr_poly_support,sr_poly_resistance,sr_poly_support_slope,sr_poly_resistance_slope,sr_poly_is_diverging,sr_poly_is_converging,sr_support_prob_avg,sr_support_prob_max,sr_resistance_prob_avg,sr_resistance_prob_max,sr_logistic_support_count,sr_logistic_resistance_count,sr_density_2pct,sr_density_5pct,sr_signal_count,sr_signal_bullish,sr_signal_bearish,support_volume_strength,resistance_volume_strength,support_touches_count,resistance_touches_count,support_strength_score,resistance_strength_score,polynomial_support,polynomial_resistance,support_slope,resistance_slope,spy_correlation_20d,spy_correlation_60d,spy_correlation_120d,spy_correlation_change,market_beta_20d,market_beta_60d,market_beta_momentum,market_beta_regime,market_rs_20d,market_rs_60d,market_rs_trend,market_rs_percentile,momentum_spread_5d,momentum_spread_20d,momentum_alignment
2025-02-24,246.0277,nan,nan,nan,246.0277,246.0277,246.0277,246.0277,246.0277,246.0277,246.0277,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,0.0,0.0,nan,nan,0.0,nan,0,0,nan,60.36011581614213,60.36011581614213,60.36011581614213,0.0,60.36011581614213,60.36011581614213,nan,nan,225.67609999999996,1,225.67609999999996,4.5,4.420800000000014,0,1,0.0,0,4.5,225.67609999999996,4.5,0.1,0.0827207668079653,4.420800000000014,1.7968708401533706,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,nan,,nan,nan,nan,2,4.184076035728222e-78,4.109675446599919e-55,1.0,0.0007580016325704743,2,1.0128534307315864,12.5045675751145,0.5803214187282011,nan,nan,266.34,-8.2561028697175,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-02-25,245.968,-0.00024265560341385495,nan,nan,245.99785,245.99785,245.99785,245.99785,245.99785,246.0185153846154,246.0232777777778,-0.004762393162394574,-0.0009524786324789148,-0.003809914529915659,0.0,0.0,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,3.3576802127615144,0.0,100.0,1.0,3.3576802127615144,nan,1,0,3.0,55.89158854426273,58.870606725515664,49.933552181756866,-8.937054543758798,55.89158854426273,58.870606725515664,nan,nan,225.9581045454545,1,225.67609999999996,4.5,4.538454545454559,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.08135162075776321,4.5070800000000135,1.8323847004488445,nan,nan,nan,nan,-48013300.0,nan,nan,-0.00012134252392860493,-0.00012134252392860493,nan,,nan,nan,nan,2,2.8536623201164862e-15,2.8733029918280175e-30,1.0,0.0007580016325704743,2,0.988827815000323,12.531874064919013,0.5803214187282011,nan,nan,266.34,-8.282378195537625,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-02-26,239.317,-0.027040102777597053,nan,nan,243.77089999999998,243.77089999999998,243.77089999999998,243.77089999999998,243.77089999999998,244.9875130177515,245.52651646090536,-0.5390034431538595,-0.10856267153675504,-0.4304407716171045,-0.003809914529915659,0.0,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,2.6462769725658557,15.481930887244333,96.10731593101734,0.9610731593101733,12.835653914678478,-3.8926840689826605,0,1,3.0,41.03303424233084,52.92474923112073,17.24960426475107,-35.67514496636966,41.03303424233084,52.92474923112073,nan,nan,225.9581045454545,1,225.67609999999996,4.5,5.145226446281002,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.05582092143285065,4.9562293333333445,2.0709892457841876,nan,nan,nan,nan,-92446900.0,nan,nan,-0.018270843648688077,-0.018270843648688077,nan,,nan,nan,nan,2,9.076638410587047e-16,2.8528987444731716e-15,1.0,0.0006581413891547237,2,-1.7628501109407133,15.659313797181134,0.5803214187282011,nan,nan,266.34,-11.29171767989736,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-02-27,236.2702,-0.012731230961444573,nan,nan,241.895725,241.895725,241.895725,241.895725,241.895725,243.64638793809743,244.8408633897272,-1.1944754516297564,-0.32574522755535534,-0.868730224074401,-0.4304407716171045,0.0,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,2.2677998584071672,18.750217466536174,93.74906323298349,0.9374906323298349,16.48241760812901,-2.3582526980338514,0,1,3.0,27.97344502767518,44.607647829972215,-5.294960576918896,-49.90260840689111,27.97344502767518,44.607647829972215,nan,nan,225.9581045454545,1,225.67609999999996,4.5,5.187276183320823,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.043645349496235664,5.012265422222235,2.1214124431359673,nan,nan,nan,nan,-133600500.0,nan,nan,-0.023255991812174484,-0.023255991812174484,nan,,nan,nan,nan,2,2.3714975310529434e-18,8.898231744155885e-16,1.0,0.0006591574736575352,2,-3.0751233122078054,17.150787530547653,0.5803214187282011,nan,nan,266.34,-12.726869490947223,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-02-28,240.7905,0.019131909144699755,nan,nan,241.67468,241.67468,241.67468,241.67468,241.67468,243.20702056300553,244.5408364719696,-1.333815908964084,-0.5273593638371011,-0.8064565451269828,-0.868730224074401,37.06572891226826,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,1.663381691363405,29.130156354250097,93.14206194628852,0.9314206194628852,27.466774662886692,-0.6070012866949668,0,1,3.0,38.24492089824346,42.486738852729296,29.761284989271772,-12.725453863457524,38.24492089824346,42.486738852729296,nan,nan,225.9581045454545,1,225.67609999999996,4.5,6.396571422717038,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.06159875682199056,5.922416699259272,2.459572408072275,nan,nan,nan,nan,-76767100.0,nan,nan,-0.003658554549446332,-0.003658554549446332,nan,,nan,nan,nan,2,1.2727851436776937e-17,3.170966174456075e-20,1.0,0.000593283110875457,2,-1.140119730637208,14.951545015272602,0.5803214187282011,nan,nan,266.34,-10.610676085642899,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-03-03,236.9971,-0.015753943781004698,-0.036705622984729014,nan,239.86855999999997,240.89508333333333,240.89508333333333,240.89508333333333,240.89508333333333,242.251648168697,243.98204117774964,-1.7303930090526478,-0.7679660928802106,-0.9624269161724373,-0.8064565451269828,27.27613521023744,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,5.54518759511846,24.17754142913884,89.08141693687803,0.8908141693687803,18.632353834020382,-4.060645009410493,0,1,3.0,38.678549704021016,41.21734246982654,33.600964172409974,-7.616378297416567,38.678549704021016,41.21734246982654,nan,nan,225.9581045454545,1,225.67609999999996,4.5,6.667303891313942,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.046578609841831396,6.184174472691371,2.6093882468145693,nan,nan,nan,nan,-123951100.0,nan,nan,-0.016181249029228188,-0.016181249029228188,nan,,nan,nan,nan,2,2.1070966990059062e-18,1.2279455299889025e-17,1.0,0.0005613122844264773,2,-2.7589789073368434,16.791471288045294,0.5803214187282011,nan,nan,266.34,-12.381121963095746,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-03-04,234.9062,-0.008822470823482531,-0.04497251675014624,nan,237.65619999999998,240.03952857142855,240.03952857142855,240.03952857142855,240.03952857142855,241.1215792196667,243.30975664606447,-2.188177426397772,-1.0520083595837229,-1.136169066814049,-0.9624269161724373,23.35335532852484,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,4.892062816086628,24.454709365952148,86.09193475722886,0.8609193475722886,19.56264654986552,-2.9894821796491726,0,1,3.0,35.432264106064245,39.28898301523911,27.718826287714506,-11.570156727524605,35.432264106064245,39.28898301523911,nan,nan,225.9581045454545,1,225.67609999999996,4.5,6.430812274711408,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.038092206397896365,6.075164542999189,2.586208683721072,nan,nan,nan,nan,-177749200.0,nan,nan,-0.02138534683007849,-0.02138534683007849,nan,,nan,nan,nan,2,2.1281225791584353e-19,7.451904123171802e-19,1.0,0.0005203688743407519,2,-3.6736365408831193,17.831032131122964,0.5803214187282011,nan,nan,266.34,-13.381426288450438,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-03-05,234.717,-0.0008054278686556726,-0.019221367474939077,nan,236.7362,239.3742125,239.3742125,239.3742125,239.3742125,240.13625933971798,242.6732561537634,-2.536996814045409,-1.3490060504760601,-1.187990763569349,-1.136169066814049,23.00787494810399,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,4.12983976018019,32.244883652556055,84.91871740336391,0.8491871740336392,28.115043892375866,-1.173217353864942,0,1,3.0,34.069224888073975,37.5490636395174,27.109547385187128,-10.439516254330272,34.069224888073975,37.5490636395174,nan,nan,225.9581045454545,1,225.67609999999996,4.5,6.586700952036609,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.03731683454775548,6.2369026039326325,2.657201056562853,nan,nan,nan,nan,-224976800.0,nan,nan,-0.0194557820216327,-0.0194557820216327,nan,,nan,nan,nan,2,5.1567361953389397e-20,3.0230709589611612e-21,1.0,0.00046565559339731294,2,-3.757205485755178,17.926013028455532,0.5803214187282011,nan,nan,266.34,-13.472820460384192,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-03-06,234.3088,-0.0017391156158268473,-0.008301512420948565,nan,236.34391999999997,238.81138888888887,238.81138888888887,238.81138888888887,238.81138888888887,239.23972713360752,242.05366680904018,-2.813939675432664,-1.6419927754673809,-1.1719468999652831,-1.187990763569349,22.190645854264773,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,6.586834709748099,28.90797661230073,81.98097473973233,0.8198097473973234,22.32114190255263,-2.9377426636315818,0,1,3.0,32.50256310797306,35.86689679566929,25.7738957325806,-10.093001063088693,32.50256310797306,35.86689679566929,nan,nan,225.9581045454545,1,225.67609999999996,4.5,6.239955324393588,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.035639700491596996,6.029262256741614,2.573212041861686,nan,nan,nan,nan,-270147200.0,nan,nan,-0.01885416315292981,-0.01885416315292981,nan,,nan,nan,nan,2,2.973931079909458e-20,3.0804860391985186e-22,1.0,0.00041018529583698645,2,-3.9379656248506265,18.131457290549903,0.5803214187282011,nan,nan,266.34,-13.670506613494664,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
2025-03-07,238.0326,0.015892702280068116,-0.011453524952188765,nan,235.79233999999997,238.73351000000002,238.73351000000002,238.73351000000002,238.73351000000002,239.05401526689866,241.75581000837053,-2.701794741471872,-1.853953168668279,-0.8478415728035928,-1.1719468999652831,43.365117020191164,nan,nan,nan,nan,0.5,nan,0.0,nan,1.0,False,13.275058462489838,24.751415278888103,75.07416655134558,0.7507416655134559,11.476356816398265,-6.906808188386748,0,1,3.0,37.46043657934351,36.3980767235607,39.585156290909126,3.1870795673484267,37.46043657934351,36.3980767235607,nan,nan,225.9581045454545,1,225.67609999999996,4.5,6.302017992685662,0,1,0.0,0,4.5,225.9581045454545,4.5,0.1,0.05072622596461793,6.102867289176065,2.5638787666798857,nan,nan,nan,nan,-223873600.0,nan,nan,-0.0029359514715802636,-0.0029359514715802636,nan,,nan,nan,nan,2,1.3787847564363618e-12,6.154207283665417e-24,0.9999999999986358,0.0003634031186026243,2,-2.3119522283922422,16.283399836829066,0.5803214187282011,nan,nan,266.34,-11.892236609607245,243.5358,276.7924,7.95,4.62,nan,nan,-48.23922058267715,-69.75429742890822,0.0,0.0,0.7180731850948643,0.7481145972140691,0.7738222408935322,0.947249107514632,3.0,4.0,0.0,1.0,0.0,0.0,0.0,87.33,88.11,13,33,71.08,81.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,nan,nan,nan,0.5,nan,nan,0.0
